university_name,country,teaching_score,international_score,research_score,grad_undergrad_ratio
Rensselaer Polytechnic Institute,United States of America,50.5,48,54.6,30 : 70
"Rutgers, the State University of New Jersey",United States of America,53.4,26.8,64.7,51:49:00
Purdue University,United States of America,57,62.6,67.8,42:58:00
National Tsing Hua University,Taiwan,52.2,34.1,52.6,33 : 67
University of Cape Town,South Africa,36.6,83.3,42.1,53:47:00
Pennsylvania State University,United States of America,46.3,19.9,49.2,46:54:00
Seoul National University,South Korea,62.3,44.9,54.1,
Hong Kong Baptist University,Hong Kong,32.9,71.8,32.5,61:39:00
Bilkent University,Turkey,34.3,47.7,36.1,
Tokyo Institute of Technology,Japan,62.9,24.8,63.4,0.602083333
Eindhoven University of Technology,Netherlands,55.4,44.9,51.7,0.847916667
National Taiwan University,Taiwan,50.3,29.2,59,39 : 61
University of Hawai’i at Mānoa,United States of America,38.3,34.2,47.6,
"University of California, Riverside",United States of America,38.6,63,47.4,51:49:00
University of Geneva,Switzerland,46.6,95.7,49.7,61:39:00
KU Leuven,Belgium,57.7,29.6,62.9,54:46:00
Nanjing University,China,52.2,50.2,46.2,46:54:00
Queen Mary University of London,United Kingdom,39.7,91,44.1,52:48:00
Michigan State University,United States of America,50.4,30.4,52.7,51:49:00
Technical University of Denmark,Denmark,46.2,64,46.9,27 : 73
Ghent University,Belgium,52.8,24.7,59.1,57:43:00
Lancaster University,United Kingdom,43.5,73.8,41.9,52:48:00
Leiden University,Netherlands,47.3,40,54.9,59:41:00
University of Alberta,Canada,53.7,71.6,58,55:45:00
University of Glasgow,United Kingdom,45.6,55.1,50.3,57:43:00
Stockholm University,Sweden,36.9,23,49.2,62:38:00
Osaka University,Japan,61.7,20.1,63.4,31 : 69
University of Victoria,Canada,32.9,20.7,48.3,56:44:00
Tohoku University,Japan,60.3,20.1,62.5,25 : 75
University of Freiburg,Germany,52.4,46.2,41.4,52:48:00
University of Iowa,United States of America,48.6,31.7,59.8,52:48:00
University of Bergen,Norway,39.9,66.6,42.1,60:40:00
University of Lausanne,Switzerland,43.1,84.1,50.5,
University of Sheffield,United Kingdom,48.9,62.7,49.2,50:50:00
University of Montreal,Canada,56.1,33,49.4,57:43:00
VU University Amsterdam,Netherlands,47.6,30.6,51.6,56:44:00
Pierre and Marie Curie University,France,51.9,30.7,37.2,48:52:00
University of Dundee,United Kingdom,34.1,54.4,41,60:40:00
University of Barcelona,Spain,34.1,22.3,33.7,62:38:00
Utrecht University,Netherlands,43.4,52.6,53,59:41:00
Wageningen University and Research Center,Netherlands,58.5,24.3,48.8,56:44:00
University of Auckland,New Zealand,34.8,94.3,39.2,54:46:00
University of Birmingham,United Kingdom,50.3,73.8,50.7,54:46:00
Alexandria University,Egypt,29.5,19.3,28,46:54:00
Uppsala University,Sweden,49.6,77.9,62.2,57:43:00
Hong Kong Polytechnic University,Hong Kong,39.4,82.9,45.7,51:49:00
University of Aberdeen,United Kingdom,37.8,86.1,45.2,54:46:00
Delft University of Technology,Netherlands,55.5,47.4,67.7,26 : 74
"Birkbeck, University of London",United Kingdom,41.2,88.5,35.8,55:45:00
Newcastle University,United Kingdom,42.7,80.5,42.8,50:50:00
University of New South Wales,Australia,49.5,70.7,48.9,47:53:00
Pompeu Fabra University,Spain,35,44.1,33,59:41:00
Indiana University,United States of America,48.5,37.7,42.5,53:47:00
Iowa State University,United States of America,49.3,23.2,49.6,44:56:00
Georgia Health Sciences University,United States of America,67.3,16.3,41.7,
Erasmus University Rotterdam,Netherlands,39.4,58.6,43.6,48:52:00
University of Delaware,United States of America,38.4,16.8,51.9,56:44:00
Arizona State University,United States of America,43,24.1,44.1,50:50:00
Boston College,United States of America,40.1,31.6,33.6,54:46:00
National Sun Yat-Sen University,Taiwan,46.1,21.3,50.6,37 : 63
Georgetown University,United States of America,65.1,24.7,44.7,53:47:00
University of Amsterdam,Netherlands,42.5,38.2,49.2,53:47:00
University of Liverpool,United Kingdom,40.8,59.8,47.8,52:48:00
Aarhus University,Denmark,38.1,33.4,55.6,54:46:00
University of Leeds,United Kingdom,46.2,50,48,58:42:00
University of Würzburg,Germany,48.7,40.3,40.9,57:43:00
University of Groningen,Netherlands,41.7,35.5,56.4,52:48:00
Sun Yat-sen University,China,46.2,29.3,34.7,51:49:00
Goethe University Frankfurt,Germany,39.2,56.1,37.3,60:40:00
Bielefeld University,Germany,39.9,23,35.7,57:43:00
Nanyang Technological University,Singapore,43.6,96.3,51.7,48:52:00
University of East Anglia,United Kingdom,42.1,62.8,40.4,58:42:00
University of Nottingham,United Kingdom,46.8,74.8,44.1,54:46:00
University of Copenhagen,Denmark,44.1,45.8,45.7,67:33:00
Humboldt University of Berlin,Germany,50.9,46.1,44.5,
Monash University,Australia,39.4,87.1,38.8,56:44:00
University of Bonn,Germany,46.8,46.8,33.8,55:45:00
National Chiao Tung University,Taiwan,53.2,57.9,54.4,27 : 73
RWTH Aachen University,Germany,50,63.8,42.5,31 : 69
Middle East Technical University,Turkey,39.5,27.2,39.5,44:56:00
University of Exeter,United Kingdom,40.4,62.8,42.5,54:46:00
University of Twente,Netherlands,49.9,62.4,48.3,37 : 63
University of Konstanz,Germany,42.7,93.6,40.1,54:46:00
Karlsruhe Institute of Technology,Germany,45,47.3,35.4,26 : 74
University of Innsbruck,Austria,37.9,99.5,34.8,54:46:00
University of Tübingen,Germany,45.9,57.8,36.3,58:42:00
Drexel University,United States of America,45,60.6,35.9,48:52:00
University of Cincinnati,United States of America,43.6,18.9,40.4,54:46:00
Yonsei University,South Korea,43,28,48.7,
Dalhousie University,Canada,41.6,44.9,50.2,55:45:00
KTH Royal Institute of Technology,Sweden,49.1,64.2,56.2,30 : 70
University of Vienna,Austria,47.6,63.2,45.7,67:33:00
Kent State University,United States of America,33.5,15.9,33.3,58:42:00
University of Illinois at Chicago,United States of America,57.8,51.8,46.8,53:47:00
Zhejiang University,China,54.6,29.6,41.3,41:59:00
Simon Fraser University,Canada,32.9,51.9,44.2,55:45:00
Swedish University of Agricultural Sciences,Sweden,43.3,12.9,49.5,67:33:00
California Institute of Technology,United States of America,95.7,56,98.2,33 : 67
Stanford University,United States of America,94.8,57.2,98.9,42:58:00
University of Oxford,United Kingdom,89.5,91.9,96.6,46:54:00
Princeton University,United States of America,91.5,49.6,99.1,45:55:00
University of Cambridge,United Kingdom,90.5,85.3,94.2,46:54:00
Massachusetts Institute of Technology,United States of America,92.7,79.2,87.4,37 : 63
Imperial College London,United Kingdom,88.8,92.2,88.7,37 : 63
University of Chicago,United States of America,89.4,58.8,90.8,42:58:00
"University of California, Berkeley",United States of America,82.8,50.4,99.4,50:50:00
Yale University,United States of America,92.3,55.5,91.2,50:50:00
Columbia University,United States of America,89.1,67.6,81.8,
"University of California, Los Angeles",United States of America,85.9,41,92.5,52:48:00
Johns Hopkins University,United States of America,78.9,59.9,86.5,50:50:00
ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,79.1,97.5,85.8,31 : 69
University of Pennsylvania,United States of America,87,34.3,86.1,51:49:00
University College London,United Kingdom,77.8,91.8,84.3,56:44:00
University of Michigan,United States of America,75.4,47.2,90,48:52:00
University of Toronto,Canada,76.9,69,87.4,
Cornell University,United States of America,70.4,53.4,87.2,48:52:00
Carnegie Mellon University,United States of America,65.7,55,79.5,39 : 61
Duke University,United States of America,62.6,46.9,77.9,49:51:00
University of British Columbia,Canada,68.6,88.7,78.6,54:46:00
Georgia Institute of Technology,United States of America,66.6,65,73.8,31 : 69
University of Washington,United States of America,70.8,36.9,74,53:47:00
Northwestern University,United States of America,66.3,35.3,75.5,48:52:00
University of Wisconsin-Madison,United States of America,74.3,23.8,77.3,51:49:00
McGill University,Canada,72.8,81.4,78.4,56:44:00
University of Texas at Austin,United States of America,69.5,38.8,76.1,51:49:00
University of Tokyo,Japan,86.1,23,80.3,
University of Illinois at Urbana-Champaign,United States of America,67.9,50.7,81.3,47:53:00
Karolinska Institute,Sweden,69.9,82,73.8,70:30:00
"University of California, San Diego",United States of America,61.4,31.5,72,48:52:00
University of Hong Kong,Hong Kong,74,83.7,80.1,53:47:00
"University of California, Santa Barbara",United States of America,55,52.6,65.3,52:48:00
University of Edinburgh,United Kingdom,63,79.8,61.4,58:42:00
University of Melbourne,Australia,62.2,82.5,72.4,55:45:00
Australian National University,Australia,62.8,93.8,75.1,52:48:00
"University of California, Davis",United States of America,68,51.4,68.7,54:46:00
National University of Singapore,Singapore,65.7,93,79,49:51:00
Washington University in St Louis,United States of America,64,45.7,58.9,
University of Minnesota,United States of America,66.1,25.6,72.5,52:48:00
University of North Carolina at Chapel Hill,United States of America,67.6,20.2,62.6,58:42:00
New York University,United States of America,60.2,38.1,65.4,55:45:00
LMU Munich,Germany,63.8,54.3,59.9,62:38:00
École Polytechnique Fédérale de Lausanne,Switzerland,53.1,98.9,43.9,27 : 73
London School of Economics and Political Science,United Kingdom,66.4,96,75.4,
University of Manchester,United Kingdom,59,80.4,61.1,52:48:00
